route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_sort_order,direction0_name,direction1_name,route_group
67,OPTYMO_SUB,67,Danjoutin - Mozart - Ligne Q,3,A1A1A1,000000,36,,,Services scolaires
68,OPTYMO_SUB,68,Lycées Belfort - Ligne R,3,A1A1A1,000000,37,,,Services scolaires
69,OPTYMO_SUB,69,Renfo Scol Urbain - Ligne S,3,A1A1A1,000000,38,,,
70,OPTYMO_SUB,70,Montreux Château - Camille Claudel - Ligne T,3,A1A1A1,000000,39,,,Services scolaires
71,OPTYMO_SUB,71,Beaucourt - St Exupéry - Ligne U,3,A1A1A1,000000,40,,,Services scolaires
72,OPTYMO_SUB,72,Belfort - Vauban - Ligne V,3,A1A1A1,000000,41,,,Services scolaires
90,OPTYMO_SUB,90,Giromagny - Belfort Gare,3,70ACAD,FFFFFF,42,Belfort Gare,Giromagny,
91,OPTYMO_SUB,91,Rougemont - Belfort Gare (via Etueffont),3,6B76AD,FFFFFF,43,Belfort Gare,Rougemont,
92,OPTYMO_SUB,92,Montreux - Belfort Gare (via Fontaine),3,EFA974,FFFFFF,44,Belfort Gare,Montreux-Château,
93,OPTYMO_SUB,93,Beaucourt - Gare TGV (via Delle),3,977FB3,FFFFFF,45,Gare TGV par Delle,Beaucourt par Delle,
ALS,OPTYMO_URB,ALS,Auto Libre Service,3,CA555E,FFFFFF,46,,,
VLS,OPTYMO_URB,VLS,Vélo Libre Service,3,4CA893,FFFFFF,47,,,
55,OPTYMO_SUB,X,Belfort - Montbéliard,3,9A61B9,FFFFFF,48,Belfort,Montbéliard,
